,school_id,region,division,district,school_name,street_address
0,151009,Region I,La Union,Bauang North,EULOGIO CLARENCE M. DE GUZMAN Jr. ELEMENTARY SCHOOL,Pagdalagan Sur
1,100185,Region I,Ilocos Norte,Paoay,Nagbacalan ES,Nagbacalan
2,101299,Region I,"Pangasinan I, Lingayen",Bayambang II,Paragos ES,"Brgy. Paragos, Bayambang, Pangasinan"
3,101146,Region I,"Pangasinan I, Lingayen",Agno,San Juan Elementary School,"San Juan Agno, Pangasinan"
4,104056,Region II,Nueva Vizcaya,Dupax del Sur,Abaca ES,Abaca
5,104108,Region II,Nueva Vizcaya,Western Kayapa,Abat Primary School,"Cabayo, Kayapa, Nueva Vizcaya"
6,103966,Region II,Nueva Vizcaya,Bambang II,Abian ES,-Abian Bambang Nueva VIzcaya
7,103562,Region II,Isabela,Quezon,Abut ES,-
8,104187,Region II,Nueva Vizcaya,Alfonso Castañeda,Abuyo ES,mulawin
9,104109,Region II,Nueva Vizcaya,Eastern Kayapa,Acacia PS,"Acacia Proper, Kayapa, Nueva Vizcaya"
10,103384,Region II,City of Ilagan,South,Aggassian ES,"Aggassian, Ilagan, Isabela"
11,156015,Region II,Nueva Vizcaya,Alfonso Castañeda,Alfonso Castaneda CS Annex,"-Lublub, A. Castaneda, N. Vizcaya"
12,103951,Region II,Nueva Vizcaya,Bambang I,Aliaga ES,Purok 1
13,102988,Region II,Isabela,Alicia North,Alicia North Central School,Valdez St.
14,104073,Region II,Nueva Vizcaya,Kasibu East,Alimit Elementary School,
15,104074,Region II,Nueva Vizcaya,Kasibu West,Alloy ES,"Alloy, Kasibu, Nueva Vizcaya"
16,103534,Region II,Isabela,Palanan,Alomanay ES,Alomanay
17,103980,Region II,Nueva Vizcaya,Ambaguio,Ambaguio CS,Provincial Road
18,103929,Region II,Nueva Vizcaya,Bagabag II,Amballo Resettlement ES,-
19,103981,Region II,Nueva Vizcaya,Bayombong I,Ammococan ES,Provincial Road
20,104015,Region II,Nueva Vizcaya,Diadi,Ampakleng Elementary School,-
21,103872,Region II,Isabela,Sto. Tomas,Ammugauan Primary School,NOT APPLICABLE
